Serial Number,Start Time,Event Type,Bump?,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),Duration,Device Status
KA418-1128809,2018-07-11 14:25:58,Low Alarm ,No,0.0,0.0,19.8,0.0,6,Active
KA418-1128809,2018-07-11 14:26:59,Low Alarm ,No,0.0,0.0,19.8,0.0,7,Active
KA418-1128809,2018-07-11 14:28:14,Low Alarm ,No,0.0,0.0,19.6,0.0,6,Active
KA418-1128809,2018-07-11 14:29:25,Low Alarm ,No,0.0,0.0,19.8,0.0,8,Active
KA418-1128809,2018-07-11 14:30:52,Low Alarm ,No,0.0,0.0,20.4,0.0,9,Active
KA418-1128809,2018-07-25 11:28:05,Low Alarm ,No,0.0,0.0,20.4,0.0,2,Active
KA418-1128809,2018-07-25 11:28:32,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active
KA418-1128809,2018-07-11 14:21:55,Low Alarm ,No,0.0,0.0,19.8,0.0,6,Active
KA418-1128809,2018-07-11 14:23:07,Low Alarm ,No,0.0,0.0,19.9,0.0,6,Active
KA418-1128809,2018-07-11 14:24:19,Low Alarm ,No,0.0,0.0,19.6,0.0,7,Active
KA418-1128160,2018-07-16 16:26:49,Multi Alarm ,Yes,12.8,-0.9,18.4,48.9,18,Active
KA418-1128160,2018-07-25 11:55:56,Multi Alarm ,Yes,26.5,101.1,19.7,48.1,109,Active
KA418-1128160,2018-07-25 13:10:52,Multi Alarm ,Yes,26.7,97.3,19.6,46.9,110,Active
KA418-1128809,2018-07-26 10:20:22,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active
KA418-1128809,2018-07-25 15:17:45,Multi Alarm ,No,25.2,99.0,17.9,50.8,23,Active
KA418-1128809,2018-07-25 15:29:19,Low Alarm ,No,2.3,0.0,20.4,0.0,6,Active
KA418-1128809,2018-07-25 15:48:50,Multi Alarm ,No,25.1,99.2,17.8,53.2,20,Active
KA418-1128809,2018-07-25 16:05:36,Low Alarm ,No,2.2,0.0,20.5,0.0,4,Active
KA418-1128809,2018-07-25 16:25:02,Multi Alarm ,No,25.0,99.1,18.0,50.8,18,Active
KA418-1128809,2018-07-25 17:04:27,Low Alarm ,No,0.0,0.0,20.4,0.0,2,Active
KA418-1128809,2018-07-25 17:20:59,Multi Alarm ,No,25.1,100.0,17.9,50.0,19,Active
KA418-1128809,2018-07-26 10:18:05,Low Alarm ,No,0.0,0.0,20.3,0.0,10,Active
KA418-1128809,2018-07-26 10:19:53,Low Alarm ,No,0.0,0.0,20.4,0.0,2,Active
KA418-1128160,2018-07-26 10:07:41,Low Alarm ,Yes,12.3,106.1,18.1,48.8,24,Active
KA418-1128809,2018-07-26 10:20:49,Low Alarm ,No,0.0,0.0,20.2,0.0,20,Active
